occupation,has occupation
wins at other tournaments,wins at other tournements
head chef,has head chef
orthologous gene,has orthologous gene
country with first astronaut,has first astronaut from country
iso code,have iso code
source confluence state,has source confluence in state
beltway city,has beltway city
component,has component
selection,belongs to selection
government place,has government place
government mountain,has government mountain
voice type,has voice type
last launch rocket,has last launch rocket
waterway through tunnel,is waterway tunnel through
country with first spaceflight,has first spaceflight from country
country with first satellite launched,has first satellite launched from country
country with first satellite,has first satellite from country
act score,has act score
first flight,has first flight
spur of,is spur of
address in road,is address in road
subsequent infrastructure,has subsequent infrastructure
coached team,coached team
left child,has left child
named after,is named after
wins at challenges,wins at challenges
organ system,has organ system
chair label,hide?
aircraft helicopter observation,has aircraft helicopter observation
last flight,has last flight
original end point,has original end point
wins at majors,wins at majors
general manager,has general manager
capital place,has capital place
capital mountain,has capital mountain
education system,has education system
original start point,has original start point
first launch rocket,has first launch rocket
national olympic committee,has national olympic committee
boiler,has boiler
sat score,has sat score
government country,has government country
wins in europe,wins in europe
right child,has right child
capital country,has capital country
capital region,has capital region
headteacher,has headteacher
